id,playtime_forever
0,11.4938
1,8.3074
2,0
3,0
4,27.312
5,0
6,0
7,0
8,11.7214
9,9.673
10,15.7044
11,0.569
12,11.2662
13,7.966
14,6.0314
15,0
16,12.7456
17,0
18,0
19,0
20,3.983
21,2.5036
22,0
23,1.0242
24,0
25,1.0242
26,0.1138
27,0
28,8.9902
29,3.6416
30,11.4938
31,110.7626
32,0
33,0.7966
34,1.2518
35,0
36,0
37,5.0072
38,7.5108
39,0
40,4.7796
41,0
42,11.0386
43,3.5278
44,5.5762
45,8.8764
46,3.8692
47,6.7142
48,0
49,0
50,17.7528
51,0
52,6.259
53,0
54,0
55,0
56,0
57,9.104
58,0
59,0
60,1.4794
61,4.3244
62,2.6174
63,7.6246
64,4.6658
65,3.6416
66,0
67,10.4696
68,8.4212
69,0
70,3.6416
71,2.0484
72,0
73,6.259
74,5.9176
75,17.2976
76,6.6004
77,0
78,6.1452
79,0
80,14.225
81,0
82,4.552
83,9.5592
84,12.8594
85,0
86,0
87,3.8692
88,3.8692
89,8.9902
