id,playtime_forever
0,3.8692
1,4.3244
2,0.4552
3,1.3656
4,7.6246
5,2.3898
6,3.3002
7,1.0242
8,8.3074
9,4.3244
10,6.3728
11,1.2518
12,7.966
13,1.9346
14,3.414
15,1.8208
16,5.2348
17,0
18,2.9588
19,6.259
20,1.138
21,3.6416
22,0.569
23,0.7966
24,0
25,0.1138
26,1.707
27,0.2276
28,2.6174
29,5.0072
30,4.3244
31,110.0726
32,0.1138
33,0
34,2.3898
35,2.3898
36,0
37,7.5108
38,4.0968
39,1.2518
40,2.845
41,0
42,7.5108
43,2.3898
44,2.276
45,6.0314
46,4.2106
47,0.3414
48,0
49,4.3244
50,5.5762
51,2.0484
52,2.845
53,2.7312
54,2.1622
55,1.8208
56,0.3414
57,6.9418
58,1.138
59,1.4794
60,6.1452
61,3.983
62,1.8208
63,6.0314
64,1.5932
65,1.3656
66,0
67,2.845
68,4.0968
69,0
70,2.6174
71,1.4794
72,1.707
73,7.1694
74,1.707
75,9.9006
76,4.3244
77,1.8208
78,3.1864
79,0.3414
80,6.828
81,1.707
82,1.0242
83,6.828
84,6.6004
85,0.3414
86,2.6174
87,3.3002
88,3.5278
89,2.7312
