id,playtime_forever
0,6.406190476
1,11.4734127
2,4.274509804
3,4.415749235
4,5.905321285
5,6.126754386
6,4.353616352
7,4.890498442
8,16.69236111
9,7.279787234
10,8.309287532
11,4.577101449
12,7.837634409
13,5.494362745
14,7.454545455
15,5.711428571
16,7.113138686
17,5.121866667
18,7.091484185
19,6.014166667
20,4.353616352
21,6.967670683
22,3.493452381
23,3.920673077
24,4.944767442
25,6.014166667
26,4.353616352
27,4.577101449
28,7.091484185
29,7.37611465
30,4.977410468
31,110.2778555
32,6.126754386
33,4.977410468
34,6.277855478
35,4.977410468
36,3.082153392
37,5.752160494
38,7.279787234
39,4.977410468
40,5.494362745
41,3.455606061
42,8.309287532
43,6.126754386
44,6.174942529
45,6.71969697
46,6.126754386
47,5.149770115
48,4.890498442
49,6.998858447
50,10.03502415
51,3.568333333
52,5.278125
53,11.19206349
54,5.149770115
55,6.014166667
56,5.121866667
57,7.724351297
58,5.149770115
59,5.658888889
60,6.277855478
61,5.494362745
62,4.859641873
63,12.0967803
64,5.325490196
65,5.658888889
66,4.415749235
67,5.121866667
68,7.663532764
69,4.890498442
70,5.121866667
71,3.920673077
72,4.944767442
73,12.24494949
74,6.494983819
75,17.98166667
76,6.277855478
77,5.278125
78,7.113138686
79,7.091484185
80,5.114655172
81,6.014166667
82,5.121866667
83,8.488444444
84,12.88018868
85,4.301833333
86,4.890498442
87,4.859641873
88,18.49294294
89,6.71969697
